source,city_label,facility,match_date,kickoff_local,duration_minutes,format,bookable_spots,price,listing_title,note
plei,Houston,Pegaso HTX,2026-09-21,21:00,90,6v6,12,,adidas Futbol Society FREE pickup,"Friendly Game ful Game full (max spots inferred from same facility/format) Free brand-sponsored game; max not shown, 12 assumed"
plei,Houston,Pegaso HTX,2026-09-21,21:30,60,6v6,12,12.50,Downtown outdoor,High-level
plei,Houston,HTX Fieldhouse,2026-09-21,23:00,60,6v6,12,10.50,20% OFF East End indoor,Intermediate
plei,Houston,HTX Fieldhouse,2026-09-21,19:00,60,6v6,12,10.50,20% OFF East End indoor,Intermediate
plei,Houston,HTX Fieldhouse,2026-09-21,20:00,60,6v6,12,10.50,20% OFF East End indoor,Intermediate
plei,Houston,HTX Fieldhouse,2026-09-21,21:00,60,6v6,12,12.50,East End indoor,Intermediate (max spots inferred from same facility/format)
plei,Houston,Peek Sports Texas,2026-09-21,22:00,60,7v7,14,14.50,Katy outdoor,High-level
plei,Houston,Peek Sports Texas,2026-09-21,21:00,60,8v8,16,14.50,Katy outdoor,High-level
plei,Houston,Revolution Soccer Complex,2026-09-21,22:00,60,7v7,14,14.50,Northwest outdoor,High-level
plei,Houston,Revolution Soccer Complex,2026-09-21,23:00,60,7v7,14,12.50,Happy hour Northwest outdoor,Intermediate
plei,Houston,Revolution Soccer Complex,2026-09-21,18:00,60,7v7,14,14.50,Northwest outdoor,Intermediate
plei,Houston,Revolution Soccer Complex,2026-09-21,19:00,60,5v5,10,14.50,Northwest outdoor,Intermediate
plei,Houston,Revolution Soccer Complex,2026-09-21,19:00,60,7v7,14,14.50,Northwest outdoor,High-level
plei,Houston,Revolution Soccer Complex,2026-09-21,20:00,60,5v5,10,14.50,Northwest outdoor,Intermediate
plei,Houston,Revolution Soccer Complex,2026-09-21,20:00,60,7v7,14,14.50,Northwest outdoor,High-level
plei,Houston,Revolution Soccer Complex,2026-09-21,21:00,60,5v5,10,14.50,Northwest outdoor,High-level
plei,Houston,Revolution Soccer Complex,2026-09-21,21:00,60,7v7,14,14.50,Northwest outdoor,Intermediate
plei,Houston,Katy International Sports Complex,2026-09-21,22:30,60,8v8,16,13.50,Katy outdoor,Intermediate
plei,Houston,Katy International Sports Complex,2026-09-21,22:30,60,6v6,12,10.50,30% OFF Katy outdoor,High-level
plei,Houston,Katy International Sports Complex,2026-09-21,20:30,60,6v6,12,13.50,Katy outdoor,Intermediate
plei,Houston,Katy International Sports Complex,2026-09-21,21:30,60,8v8,16,13.50,Katy outdoor,Intermediate
plei,Houston,Katy International Sports Complex,2026-09-21,21:30,60,6v6,12,10.50,30% OFF Katy outdoor,High-level
plei,Houston,Crossbar Academy,2026-09-21,19:00,60,6v6,12,10.50,30% OFF Tomball outdoor,Intermediate
plei,Houston,Crossbar Academy,2026-09-21,20:00,60,6v6,12,13.50,Tomball outdoor,High-level
plei,Houston,Crossbar Academy,2026-09-21,21:00,60,6v6,12,11.50,20% GEF Tomball ontdoor,Intermediate
plei,Houston,Futbolito-Golfo de Mexico,2026-09-21,22:15,60,7v7,14,7.50,30% OFF South Houston outdoor,Intermediate
plei,Houston,The HatTrick Patio,2026-09-21,20:00,60,5v5,10,8.50,happy hour Tomball indoor,Intermediate
plei,Houston,The HatTrick Patio,2026-09-21,21:00,60,5v5,10,8.50,happy hour Tomball indoor,Intermediate
plei,Houston,The HatTrick Oakridge,2026-09-21,21:00,60,6v6,12,12.50,10% OFF Conroe indoor,Intermediate
plei,Houston,Indoor Soccer Box,2026-09-15,19:00,60,5v5,10,11.25,10% OFF Memorial City indoor,Intermediate
plei,Houston,Indoor Soccer Box,2026-09-15,21:30,90,5v5,15,12.50,KOTT Memorial City indoor,Intermediate
plei,Houston,Q&B Indoor Sports,2026-09-15,22:30,60,6v6,12,12.50,West Houston indoor,Intermediate
plei,Houston,Q&B Indoor Sports - Sphere,2026-09-15,21:00,60,5v5,15,12.50,NEW 3 Team soccer experience powered by,Beginner
plei,Houston,Cancha Five Stars | Hillcroft,2026-09-15,19:00,60,7v7,14,9.75,40% OFF West Houston outdoor,Intermediate
plei,Houston,Pac Global Academy | West Houston,2026-09-15,21:00,60,8v8,16,11.50,20% OFF West Houston outdoor,High-level
plei,Houston,GoPro Arena,2026-09-15,23:00,60,6v6,12,8.50,20% OFF West Houston indoor,High-level
plei,Houston,GoPro Arena,2026-09-15,19:00,60,6v6,12,10.50,West Houston indoor,High-level
plei,Houston,Pegaso HTX,2026-09-15,18:00,60,6v6,12,12.50,Downtown outdoor,High-level
plei,Houston,Toros Lifestyle Soccer Art District,2026-09-15,23:00,60,6v6,12,14.50,Downtown outdoor,High-level
plei,Houston,Toros Lifestyle Soccer Art District,2026-09-15,20:00,60,5v5,10,13.50,Downtown outdoor - Small Field,Intermediate 2 spots left!
plei,Houston,Toros Lifestyle Soccer Art District,2026-09-15,21:00,60,5v5,10,13.50,Downtown outdoor - Small Field,Intermediate
plei,Houston,Houston Soccer Field,2026-09-15,22:00,60,8v8,16,13.50,Cypress outdoor,High-level 3 spots left!
plei,Houston,Houston Soccer Field,2026-09-15,20:00,60,6v6,12,13.00,Cypress outdoor,Intermediate
plei,Houston,Houston Soccer Field,2026-09-15,21:00,60,6v6,12,14.50,Cypress outdoor,Intermediate
plei,Houston,King Soccer,2026-09-15,22:00,90,6v6,18,11.75,20% OFF KOTT Cypress indoor,High-level
plei,Houston,Turf On Soccer Fields,2026-09-15,19:00,60,7v7,14,9.50,40% OFF North Houston outdoor,Intermediate
plei,Houston,Turf On Soccer Fields,2026-09-15,20:00,60,7v7,14,9.50,40% OFF North Houston outdoor,Intermediate
plei,Houston,Turf On Soccer Fields,2026-09-15,21:00,60,7v7,14,9.50,40% OFF North Houston outdoor,High-level
plei,Houston,Pegaso HTX,2026-09-15,22:00,60,6v6,12,12.50,Downtown outdoor,High-level 3 spots left!
plei,Houston,Pegaso HTX,2026-09-15,23:00,60,6v6,12,12.50,Downtown outdoor,High-level
plei,Houston,Pegaso HTX,2026-09-15,00:00,60,6v6,12,12.50,Downtown outdoor,High-level
plei,Houston,Pegaso HTX,2026-09-15,17:00,60,6v6,12,11.50,Happy hour Downtown outdoor,Intermediate
plei,Houston,HTX Fieldhouse,2026-09-15,22:00,60,6v6,12,12.50,East End indoor,Intermediate
plei,Houston,HTX Fieldhouse,2026-09-15,23:00,60,6v6,12,10.50,20% OFF East End indoor,Intermediate
plei,Houston,HTX Fieldhouse,2026-09-15,19:00,60,6v6,12,10.50,20% OFF East End indoor,Intermediate
plei,Houston,HTX Fieldhouse,2026-09-15,20:00,60,6v6,12,12.50,East End indoor,Intermediate
plei,Houston,HTX Fieldhouse,2026-09-15,21:00,60,6v6,12,12.50,East End indoor,Intermediate
plei,Houston,Peek Sports Texas,2026-09-15,20:00,60,7v7,14,14.75,Katy outdoor,Intermediate
plei,Houston,Peek Sports Texas,2026-09-15,21:00,60,7v7,14,14.75,Katy outdoor,High-level
plei,Houston,Revolution Soccer Complex,2026-09-15,22:00,60,7v7,14,15.50,Northwest outdoor,High-level
plei,Houston,Revolution Soccer Complex,2026-09-15,19:00,60,5v5,10,14.50,Northwest outdoor,Intermediate
plei,Houston,Revolution Soccer Complex,2026-09-15,19:00,60,7v7,14,15.50,Northwest outdoor,High-level 3 spots left!
plei,Houston,Revolution Soccer Complex,2026-09-15,20:00,60,5v5,10,14.50,Northwest outdoor - Field 1,High-level
plei,Houston,Revolution Soccer Complex,2026-09-15,21:00,60,5v5,10,14.50,Northwest outdoor,Intermediate
plei,Houston,Revolution Soccer Complex,2026-09-15,21:00,60,7v7,14,14.50,Northwest outdoor,High-level
plei,Houston,Katy International Sports Complex,2026-09-15,22:30,60,8v8,16,13.50,Katy outdoor,High-level
plei,Houston,Katy International Sports Complex,2026-09-15,21:30,60,6v6,12,13.50,Katy outdoor,Intermediate
plei,Houston,Katy International Sports Complex,2026-09-15,21:30,60,8v8,16,13.50,Katy outdoor,Intermediate (max spots inferred from same facility/format)
plei,Houston,Crossbar Academy,2026-09-15,20:00,60,6v6,12,13.50,Tomball outdoor,Intermediate
plei,Houston,Crossbar Academy,2026-09-15,21:00,60,6v6,12,11.50,20% OFF Tomball outdoor,High-level
plei,Houston,Athlete Training and Health | Cypress,2026-09-15,20:30,60,11v11,22,12.50,Cypress outdoor,Intermediate
plei,Houston,Athlete Training & Health - Cypress | Morby,2026-09-15,21:30,60,11v11,24,13.50,Cypress outdoor,Intermediate
plei,Houston,The HatTrick Patio,2026-09-15,20:00,60,5v5,10,8.50,happy hour Tomball indoor,Intermediate
plei,Houston,The HatTrick Oakridge,2026-09-15,20:00,60,7v7,14,10.50,30% OFF Conroe outdoor,Intermediate
plei,Houston,Q&B Indoor Sports,2026-09-16,22:30,60,6v6,12,12.50,West Houston indoor,Intermediate
plei,Houston,Cancha Five Stars | Hillcroft,2026-09-16,19:00,60,7v7,14,9.75,40% OFF West Houston outdoor,Intermediate
plei,Houston,Pac Global Academy | West Houston,2026-09-16,20:00,60,6v6,12,11.50,20% OFF West Houston outdoor,High-level
plei,Houston,Pac Global Academy | West Houston,2026-09-16,21:00,60,8v8,16,11.50,20% OFF West Houston outdoor,Intermediate
plei,Houston,GoPro Arena,2026-09-16,22:00,60,6v6,12,8.50,20% OFF West Houston indoor,Intermediate
plei,Houston,GoPro Arena,2026-09-16,18:00,60,6v6,12,6.50,Happy Hour West Houston indoor,High-level
plei,Houston,GoPro Arena,2026-09-16,20:00,60,6v6,12,10.50,West Houston indoor,Intermediate 3 spots left
plei,Houston,GoPro Arena,2026-09-16,21:00,60,6v6,12,10.50,West Houston indoor,Intermediate
plei,Houston,Toros Lifestyle Soccer Art District,2026-09-16,22:00,60,5v5,10,13.50,Downtown outdoor Small Field,Intermediate
plei,Houston,Toros Lifestyle Soccer Art District,2026-09-16,23:00,60,6v6,12,14.50,Downtown outdoor,Intermediate
plei,Houston,Toros Lifestyle Soccer Art District,2026-09-16,19:00,60,5v5,10,13.50,Downtown outdoor Small Field,High-level
plei,Houston,Toros Lifestyle Soccer Art District,2026-09-16,20:00,60,5v5,10,13.50,Downtown outdoor Small Field,Intermediate
plei,Houston,Toros Lifestyle Soccer Art District,2026-09-16,21:00,60,5v5,10,13.50,Downtown outdoor Small Field,Intermediate
plei,Houston,Houston Soccer Field,2026-09-16,22:00,60,8v8,16,13.50,Cypress outdoor,intermediate
plei,Houston,Houston Soccer Field,2026-09-16,20:00,60,6v6,12,13.50,Cypress outdoor,High-level
plei,Houston,Houston Soccer Field,2026-09-16,21:00,60,6v6,12,13.00,Cypress outdoor,Intermediate 3 spots left!
plei,Houston,King Soccer,2026-09-16,20:00,60,6v6,12,13.75,Cypress indoor,High-level
plei,Houston,Turf On Soccer Fields,2026-09-16,19:00,60,7v7,14,9.50,40% OFF North Houston outdoor,High-level
plei,Houston,Turf On Soccer Fields,2026-09-16,20:00,60,7v7,14,9.50,40% OFF North Houston outdoor,Intermediate
plei,Houston,Turf On Soccer Fields,2026-09-16,21:00,60,7v7,14,9.50,40% OFF North Houston outdoor,High-level
plei,Houston,Pegaso HTX,2026-09-16,22:00,60,6v6,12,12.50,Downtown outdoor,Intermediate 3 spots left!
plei,Houston,Pegaso HTX,2026-09-16,23:00,60,6v6,12,12.50,Downtown outdoor,High-level
plei,Houston,Pegaso HTX,2026-09-16,00:00,60,6v6,12,12.50,Downtown outdoor,High-level
plei,Houston,Pegaso HTX,2026-09-16,17:00,60,6v6,12,11.50,Happy hour Downtown outdoor,Intermediate
plei,Houston,Pegaso HTX,2026-09-16,18:00,60,6v6,12,12.50,Downtown outdoor,High-level
plei,Houston,HTX Fieldhouse,2026-09-16,22:00,60,6v6,12,12.50,East End indoor,Intermediate
plei,Houston,HTX Fieldhouse,2026-09-16,23:00,60,6v6,12,10.50,20% OFF East End indoor,Intermediate
plei,Houston,HTX Fieldhouse,2026-09-16,19:00,60,6v6,12,12.50,East End indoor,Intermediate
plei,Houston,HTX Fieldhouse,2026-09-16,20:00,60,6v6,12,12.50,East End indoor,Intermediate
plei,Houston,HTX Fieldhouse,2026-09-16,21:00,60,6v6,12,12.50,East End indoor,Intermediate
plei,Houston,Athlete Training and Health | Katy,2026-09-16,22:30,60,11v11,22,12.50,20% OFF Katy outdoor,Intermediate
plei,Houston,Peek Sports Texas,2026-09-16,20:00,60,7v7,14,14.50,Katy outdoor,Intermediate
plei,Houston,Revolution Soccer Complex,2026-09-16,22:00,60,7v7,14,14.50,Northwest outdoor,Intermediate
plei,Houston,Revolution Soccer Complex,2026-09-16,23:00,60,7v7,14,14.50,Northwest outdoor,Intermediate
plei,Houston,Revolution Soccer Complex,2026-09-16,18:00,60,7v7,14,14.50,Northwest outdoor,Intermediate
plei,Houston,Revolution Soccer Complex,2026-09-16,19:00,60,5v5,10,14.50,Northwest outdoor,Intermediate (max spots inferred from same facility/format)
plei,Houston,Revolution Soccer Complex,2026-09-16,19:00,60,7v7,14,14.50,Northwest outdoor,Intermediate 3 spots left!
plei,Houston,Revolution Soccer Complex,2026-09-16,20:00,60,5v5,10,14.50,Northwest outdoor,Intermediate
plei,Houston,Revolution Soccer Complex,2026-09-16,21:00,60,5v5,10,14.50,Northwest outdoor,Intermediate
plei,Houston,Katy International Sports Complex,2026-09-16,22:30,60,8v8,16,13.50,Katy outdoor,Intermediate
plei,Houston,Katy International Sports Complex,2026-09-16,23:00,60,8v8,16,10.50,Happy hour Katy outdoor,Intermediate
plei,Houston,Katy International Sports Complex,2026-09-16,20:30,60,6v6,12,13.50,Katy outdoor,High-level
plei,Houston,Katy International Sports Complex,2026-09-16,21:30,60,6v6,12,13.50,Katy outdoor,Intermediate
plei,Houston,Crossbar Academy,2026-09-16,19:00,60,6v6,12,10.50,30% OFF Tomball outdoor,High-level
plei,Houston,Crossbar Academy,2026-09-16,20:00,60,6v6,12,13.50,Tomball outdoor,Intermediate
plei,Houston,Crossbar Academy,2026-09-16,21:00,60,6v6,12,11.50,20% OFF Tomball outdoor,High-level
plei,Houston,Futbolito-Golfo de Mexico,2026-09-16,22:30,60,7v7,14,7.50,30% OFF South Houston outdoor,High-level
plei,Houston,Crossbar Academy | Indoor Soccer,2026-09-16,22:00,60,5v5,10,8.50,40% OFF Tomball indoor,Intermediate
plei,Houston,The HatTrick Patio,2026-09-16,20:00,60,5v5,10,8.50,happy hour Tomball indoor,High-level
plei,Houston,The HatTrick Patio,2026-09-16,21:00,60,5v5,10,8.50,happy hour Tomball indoor,Intermediate
plei,Houston,The HatTrick Oakridge,2026-09-16,22:00,60,6v6,12,12.50,10% OFF Conroe indoor,High-level
plei,Houston,The HatTrick Oakridge,2026-09-16,21:00,60,6v6,12,11.50,20% OFF Conroe indoor,Intermediate
plei,Houston,Cancha Five Stars | Hillcroft,2026-09-17,22:00,60,7v7,14,9.75,40% OFF West Houston outdoor,High-level
plei,Houston,Pac Global Academy | West Houston,2026-09-17,21:00,60,9v9,16,11.50,20% OFF West Houston outdoor,High-level
plei,Houston,GoPro Arena,2026-09-17,22:00,60,6v6,12,10.50,West Houston indoor,Intermediate
plei,Houston,GoPro Arena,2026-09-17,18:00,60,6v6,12,7.50,Happy hour West Houston indoor,Intermediate
plei,Houston,GoPro Arena,2026-09-17,19:00,60,6v6,12,10.50,West Houston indoor,Intermediate
plei,Houston,GoPro Arena,2026-09-17,20:00,60,6v6,12,9.50,10% OFF West Houston indoor,High-level
plei,Houston,GoPro Arena,2026-09-17,21:00,60,6v6,12,10.50,West Houston indoor,High-level (max spots inferred from same facility/format)
plei,Houston,The HatTrick Oakridge,2026-09-17,21:00,60,6v6,12,12.50,10% OFF Conroe indoor,Intermediate
plei,Houston,Toros Lifestyle Soccer Art District,2026-09-17,22:00,60,5v5,10,13.50,Downtown outdoor - Small Field,High-level
plei,Houston,Toros Lifestyle Soccer Art District,2026-09-17,22:00,60,6v6,12,14.50,Downtown outdoor,Intermediate
plei,Houston,Toros Lifestyle Soccer Art District,2026-09-17,23:00,60,6v6,12,14.50,Downtown outdoor,Intermediate
plei,Houston,Toros Lifestyle Soccer Art District,2026-09-17,19:00,60,6v6,12,14.50,Downtown outdoor,Intermediate 3 spots left!
plei,Houston,Toros Lifestyle Soccer Art District,2026-09-17,20:00,60,5v5,10,13.50,Downtown outdoor - Small Field,High-level 3 spots left!
plei,Houston,Toros Lifestyle Soccer Art District,2026-09-17,20:00,60,6v6,12,14.50,Downtown outdoor,Intermediate
plei,Houston,Toros Lifestyle Soccer Art District,2026-09-17,21:00,60,5v5,10,13.50,Downtown outdoor - Small Field,Intermediate
plei,Houston,Toros Lifestyle Soccer Art District,2026-09-17,21:00,60,6v6,12,14.50,Downtown outdoor,Intermediate
plei,Houston,Houston Soccer Field,2026-09-17,22:00,60,8v8,16,13.50,Cypress outdoor,High-level
plei,Houston,Houston Soccer Field,2026-09-17,20:00,60,6v6,12,13.00,Cypress outdoor,Intermediate
plei,Houston,Houston Soccer Field,2026-09-17,21:00,60,6v6,12,13.00,Cypress outdoor,Intermediate (max spots inferred from same facility/format)
plei,Houston,Turf On Soccer Fields,2026-09-17,20:00,60,7v7,14,9.50,40% OFF North Houston outdoor,High-level
plei,Houston,Turf On Soccer Fields,2026-09-17,21:00,60,7v7,14,9.50,40% OFF North Houston outdoor,Intermediate
plei,Houston,Pegaso HTX,2026-09-17,23:00,60,6v6,12,12.50,Downtown outdoor,Intermediate
plei,Houston,Pegaso HTX,2026-09-17,17:00,60,6v6,12,11.50,Happy hour Downtown outdoor,Intermediate
plei,Houston,Pegaso HTX,2026-09-17,18:00,60,6v6,12,12.50,Downtown outdoor - Field #2,High-level
plei,Houston,HTX Fieldhouse,2026-09-17,22:00,60,6v6,12,12.50,East End indoor,Intermediate
plei,Houston,HTX Fieldhouse,2026-09-17,23:00,60,6v6,12,10.50,20% OFF East End indoor,Intermediate
plei,Houston,HTX Fieldhouse,2026-09-17,18:00,60,6v6,12,10.50,20% OFF East End indoor,Intermediate
plei,Houston,HTX Fieldhouse,2026-09-17,21:00,60,6v6,12,12.50,East End indoor,Intermediate
plei,Houston,Peek Sports Texas,2026-09-17,22:00,60,7v7,14,14.50,Katy outdoor,High-level
plei,Houston,Athlete Training and Health | Katy,2026-09-17,22:30,60,11v11,22,12.50,20% OFF Katy outdoor,Intermediate
plei,Houston,Peek Sports Texas,2026-09-17,19:00,60,7v7,14,14.50,Katy outdoor,Intermediate
plei,Houston,Peek Sports Texas,2026-09-17,20:00,60,7v7,14,14.50,Katy outdoor,Intermediate
plei,Houston,Peek Sports Texas,2026-09-17,21:00,60,8v8,16,12.50,20% OFF Katy outdoor,Intermediate
plei,Houston,Revolution Soccer Complex,2026-09-17,22:00,60,5v5,10,14.50,Northwest outdoor,Intermediate
plei,Houston,Revolution Soccer Complex,2026-09-17,22:00,60,7v7,14,14.50,Northwest outdoor,Intermediate
plei,Houston,Revolution Soccer Complex,2026-09-17,23:00,60,7v7,14,14.50,Northwest outdoor,Intermediate
plei,Houston,Revolution Soccer Complex,2026-09-17,18:00,60,7v7,14,14.50,Northwest outdoor,Intermediate
plei,Houston,Revolution Soccer Complex,2026-09-17,19:00,60,5v5,10,14.50,Northwest outdoor,High-level (max spots inferred from same facility/format)
plei,Houston,Revolution Soccer Complex,2026-09-17,19:00,60,7v7,14,14.50,Northwest outdoor,Intermediate
plei,Houston,Revolution Soccer Complex,2026-09-17,20:00,60,5v5,10,14.50,Northwest outdoor - Field 2,Intermediate
plei,Houston,Revolution Soccer Complex,2026-09-17,21:00,60,5v5,10,14.50,Northwest outdoor,intermediate
plei,Houston,Katy International Sports Complex,2026-09-17,22:30,60,8v8,16,13.50,Katy outdoor,Intermediate
plei,Houston,Katy International Sports Complex,2026-09-17,20:30,60,6v6,12,13.50,Katy outdoor,Intermediate
plei,Houston,Katy International Sports Complex,2026-09-17,21:30,60,6v6,12,13.50,Katy outdoor,High-level
plei,Houston,Crossbar Academy,2026-09-17,19:00,60,6v6,12,10.50,Happy hour Tomball outdoor,Intermediate
plei,Houston,Crossbar Academy,2026-09-17,20:00,60,6v6,12,10.50,Happy hour Tomball outdoor,High-level
plei,Houston,Crossbar Academy,2026-09-17,21:00,60,6v6,12,12.50,Tomball outdoor,Intermediate
plei,Houston,Athlete Training & Health - Cypress | Morby,2026-09-17,20:00,60,11v11,24,13.50,Cypress outdoor,Intermediate
plei,Houston,Crossbar Academy | Indoor Soccer,2026-09-17,22:00,60,5v5,10,8.50,40% OFF Tomball indoor,Intermediate
plei,Houston,The HatTrick Patio,2026-09-17,21:00,60,5v5,10,8.50,happy hour Tomball indoor,Intermediate
plei,Houston,The HatTrick Oakridge,2026-09-17,22:00,60,6v6,12,12.50,10% OFF Conroe indoor,Intermediate
plei,Houston,Q&B Indoor Sports,2026-09-18,22:30,60,5v5,10,12.50,West Houston indoor,Intermediate
plei,Houston,Memorial Indoor Soccer,2026-09-18,20:00,180,5v5,35,11.25,Open play Memorial indoor,High-level
plei,Houston,Cancha Five Stars | Hillcroft,2026-09-18,22:00,60,7v7,14,10.75,30% OFF West Houston outdoor,High-level
plei,Houston,Pac Global Academy | West Houston,2026-09-18,19:00,60,9v9,16,10.50,30% OFF West Houston outdoor,Intermediate
plei,Houston,Pac Global Academy | West Houston,2026-09-18,20:00,60,9v9,16,11.50,20% OFF West Houston outdoor,High-level
plei,Houston,Pac Global Academy | West Houston,2026-09-18,21:00,60,9v9,16,11.50,20% OFF West Houston outdoor,High-level
plei,Houston,GoPro Arena,2026-09-18,22:00,60,6v6,12,10.50,West Houston indoor,Intermediate
plei,Houston,GoPro Arena,2026-09-18,23:00,60,6v6,12,10.50,West Houston indoor,Intermediate
plei,Houston,GoPro Arena,2026-09-18,18:00,60,6v6,12,7.50,Happy Hour West Houston indoor,High-level
plei,Houston,GoPro Arena,2026-09-18,19:00,60,6v6,12,10.50,West Houston indoor,Intermediate
plei,Houston,Toros Lifestyle Soccer Art District,2026-09-18,22:00,60,6v6,12,14.50,Downtown outdoor,Intermediate 2 spats left!
plei,Houston,Toros Lifestyle Soccer Art District,2026-09-18,22:00,60,5v5,10,13.50,Downtown outdoor Small Field,High-level
plei,Houston,Toros Lifestyle Soccer Art District,2026-09-18,23:00,60,6v6,12,14.50,Downtown outdoor,High-level
plei,Houston,Toros Lifestyle Soccer Art District,2026-09-18,20:00,60,5v5,10,13.50,Downtown outdoor - Small Field,Intermediate
plei,Houston,Toros Lifestyle Soccer Art District,2026-09-18,21:00,60,5v5,10,13.50,Downtown outdoor - Small Field,Intermediate
plei,Houston,Toros Lifestyle Soccer Art District,2026-09-18,21:00,60,6v6,12,14.50,Downtown outdoor,Intermediate
plei,Houston,Houston Soccer Field,2026-09-18,22:00,60,8v8,16,13.50,Cypress outdoor,Intermediate
plei,Houston,Houston Soccer Field,2026-09-18,23:00,60,8v8,16,13.50,Cypress outdoor,High-level
plei,Houston,Houston Soccer Field,2026-09-18,19:00,60,8v8,16,13.50,Cypress outdoor,Intermediate
plei,Houston,Houston Soccer Field,2026-09-18,20:00,60,8v8,16,13.50,Cypress outdoor,Intermediate
plei,Houston,Houston Soccer Field,2026-09-18,20:00,60,6v6,12,13.00,Cypress outdoor,High-level
plei,Houston,Houston Soccer Field,2026-09-18,21:00,60,8v8,16,13.50,Cypress outdoor,Intermediate
plei,Houston,Turf On Soccer Fields,2026-09-18,20:00,60,7v7,14,9.50,40% OFF North Houston outdoor,Intermediate
plei,Houston,Pegaso HTX,2026-09-18,22:00,60,6v6,12,12.50,Downtown outdoor,Intermediate
plei,Houston,Pegaso HTX,2026-09-18,23:00,60,6v6,12,12.50,Downtown outdoor,High-level
plei,Houston,Pegaso HTX,2026-09-18,00:00,60,6v6,12,12.50,Downtown outdoor,Intermediate
plei,Houston,Pegaso HTX,2026-09-18,18:00,60,6v6,12,12.50,Downtown outdoor,High-level
plei,Houston,Pegaso HTX,2026-09-18,19:00,60,6v6,12,13.50,Downtown outdoor,Intermediate
plei,Houston,Pegaso HTX,2026-09-18,20:00,60,6v6,12,12.50,Downtown outdoor,High-level
plei,Houston,Pegaso HTX,2026-09-18,21:00,60,6v6,12,12.50,Downtown outdoor,High-level
plei,Houston,HTX Fieldhouse,2026-09-18,22:00,60,6v6,12,12.50,East End indoor,Intermediate
plei,Houston,HTX Fieldhouse,2026-09-18,23:00,60,6v6,12,10.50,20% OFF East End indoor,Intermediate
plei,Houston,HTX Fieldhouse,2026-09-18,21:00,60,6v6,12,12.50,East End indoor,Intermediate
plei,Houston,Houston Dynamo Sports Park,2026-09-18,20:00,60,11v11,22,13.50,Southwest outdoor,Intermediate
plei,Houston,Houston Dynamo Sports Park,2026-09-18,21:00,60,11v11,22,13.50,Southwest outdoor,Intermediate
plei,Houston,Peek Sports Texas,2026-09-18,22:00,60,7v7,14,14.75,Katy outdoor,High-level
plei,Houston,Peek Sports Texas,2026-09-18,20:00,60,10v10,20,14.50,Katy outdoor,Intermediate
plei,Houston,Revolution Soccer Complex,2026-09-18,23:00,60,7v7,14,14.50,Northwest outdoor,Intermediate
plei,Houston,Revolution Soccer Complex,2026-09-18,17:00,60,7v7,14,10.50,Happy hour Northwest outdoor,Intermediate
plei,Houston,Revolution Soccer Complex,2026-09-18,18:00,60,7v7,14,14.50,Northwest outdoor,Intermediate
plei,Houston,Revolution Soccer Complex,2026-09-18,20:00,60,5v5,10,14.50,Northwest outdoor,High-level
plei,Houston,Revolution Soccer Complex,2026-09-18,21:00,60,5v5,10,14.50,Northwest outdoor,Intermediate 2 spots left!
